module,group,path,imports_count,internal_imports_count,external_imports_count,missing_internal_imports_count,internal_imported_by_count,transitive_internal_imports_count,is_build_module,is_notation_module,prelude
CNNA.Basic,Basic,CNNA/Basic.lean,0,0,0,0,0,0,0,0,0
CNNA.BuildAll,BuildAll,CNNA/BuildAll.lean,2,2,0,0,0,276,1,0,0
CNNA.Notation,Notation,CNNA/Notation.lean,1,1,0,0,1,226,0,1,0
CNNA.PillarA,PillarA,CNNA/PillarA.lean,1,1,0,0,0,275,0,0,0
CNNA.PillarA.Arithmetic.Actions.ActionFormatDecision,PillarA/Arithmetic,CNNA/PillarA/Arithmetic/Actions/ActionFormatDecision.lean,1,1,0,0,3,59,0,0,0
CNNA.PillarA.Arithmetic.Actions.ActionPackage,PillarA/Arithmetic,CNNA/PillarA/Arithmetic/Actions/ActionPackage.lean,1,1,0,0,3,57,0,0,0
CNNA.PillarA.Arithmetic.Actions.GeneratorActionInventory,PillarA/Arithmetic,CNNA/PillarA/Arithmetic/Actions/GeneratorActionInventory.lean,1,1,0,0,3,58,0,0,0
CNNA.PillarA.Arithmetic.BoundarySource.BoundarySourceConvergence,PillarA/Arithmetic,CNNA/PillarA/Arithmetic/BoundarySource/BoundarySourceConvergence.lean,2,2,0,0,3,54,0,0,0
CNNA.PillarA.Arithmetic.BoundarySource.BoundarySourceDecisionLedger,PillarA/Arithmetic,CNNA/PillarA/Arithmetic/BoundarySource/BoundarySourceDecisionLedger.lean,1,1,0,0,2,53,0,0,0
CNNA.PillarA.Arithmetic.BoundarySource.BoundarySourceInterface,PillarA/Arithmetic,CNNA/PillarA/Arithmetic/BoundarySource/BoundarySourceInterface.lean,1,1,0,0,3,50,0,0,0
CNNA.PillarA.Arithmetic.BoundarySource.BoundarySourceTypeDecision,PillarA/Arithmetic,CNNA/PillarA/Arithmetic/BoundarySource/BoundarySourceTypeDecision.lean,1,1,0,0,2,49,0,0,0
CNNA.PillarA.Arithmetic.BoundarySource.BoundaryStateSubstrate,PillarA/Arithmetic,CNNA/PillarA/Arithmetic/BoundarySource/BoundaryStateSubstrate.lean,1,1,0,0,2,53,0,0,0
CNNA.PillarA.Arithmetic.BoundarySource.BranchAddressSubstrate,PillarA/Arithmetic,CNNA/PillarA/Arithmetic/BoundarySource/BranchAddressSubstrate.lean,1,1,0,0,2,53,0,0,0
CNNA.PillarA.Arithmetic.BoundarySource.ExistingIdealThreadNoGo,PillarA/Arithmetic,CNNA/PillarA/Arithmetic/BoundarySource/ExistingIdealThreadNoGo.lean,1,1,0,0,2,45,0,0,0
CNNA.PillarA.Arithmetic.BoundarySource.GeneratedSubstrateRoute,PillarA/Arithmetic,CNNA/PillarA/Arithmetic/BoundarySource/GeneratedSubstrateRoute.lean,1,1,0,0,7,52,0,0,0
CNNA.PillarA.Arithmetic.BoundarySource.HistoryExpandedSubstrate,PillarA/Arithmetic,CNNA/PillarA/Arithmetic/BoundarySource/HistoryExpandedSubstrate.lean,1,1,0,0,2,53,0,0,0
CNNA.PillarA.Arithmetic.BoundarySource.InterfaceExposureSubstrate,PillarA/Arithmetic,CNNA/PillarA/Arithmetic/BoundarySource/InterfaceExposureSubstrate.lean,1,1,0,0,2,53,0,0,0
CNNA.PillarA.Arithmetic.BoundarySource.LevelHistoryIndex,PillarA/Arithmetic,CNNA/PillarA/Arithmetic/BoundarySource/LevelHistoryIndex.lean,1,1,0,0,2,44,0,0,0
CNNA.PillarA.Arithmetic.BoundarySource.LevelHistoryMatrix,PillarA/Arithmetic,CNNA/PillarA/Arithmetic/BoundarySource/LevelHistoryMatrix.lean,3,2,1,0,2,47,0,0,0
CNNA.PillarA.Arithmetic.BoundarySource.LevelStepWitness,PillarA/Arithmetic,CNNA/PillarA/Arithmetic/BoundarySource/LevelStepWitness.lean,1,1,0,0,2,45,0,0,0
CNNA.PillarA.Arithmetic.BoundarySource.MultiSchurToLevelHistoryAdapter,PillarA/Arithmetic,CNNA/PillarA/Arithmetic/BoundarySource/MultiSchurToLevelHistoryAdapter.lean,1,1,0,0,2,48,0,0,0
CNNA.PillarA.Arithmetic.BoundarySource.RecursiveLevelHistoryCarrier,PillarA/Arithmetic,CNNA/PillarA/Arithmetic/BoundarySource/RecursiveLevelHistoryCarrier.lean,1,1,0,0,2,46,0,0,0
CNNA.PillarA.Arithmetic.BoundarySource.RecursiveLevelHistoryRoute,PillarA/Arithmetic,CNNA/PillarA/Arithmetic/BoundarySource/RecursiveLevelHistoryRoute.lean,1,1,0,0,3,51,0,0,0
